id,group_id,instruction,response,tier,source_id,source_url,captured_at,verified_by,verified_at,legacy_id,notes
mu-000026,mu-000026,In which areas does Mahindra University offer Ph.D. programmes?,Ph.D. programmes are listed in eight areas: Engineering; Educational Studies; Business Administration; Life Sciences; Media and Communication; Law; Design Innovation; Humanities and Social Sciences.,STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA026,
mu-000027,mu-000027,What is the B.Tech programme at Mahindra University?,"A 4-year (8-semester) residential B.Tech programme combining Ecole Centrale's curriculum, labs and industry connections, with the curriculum co-designed with Ecole Centrale, France. It is described as an engineering programme offering strong foundations and specialisation across core and emerging technology disciplines.",STATIC,SRC-W-05; SRC-W-03,https://www.mahindrauniversity.edu.in/programs/b-tech/; https://www.mahindrauniversity.edu.in/under-graduate-programs/,,,,QA027,
mu-000028,mu-000028,How is the B.Tech programme structured?,"The first two years are the Core Program and the last two years are the Professional Program with electives. The credit structure is: basic sciences 47, basic engineering 28, humanities/social/creative sciences 15, enterprise sciences 10. There is an international exchange programme with mandatory internships.",STATIC,SRC-W-05,https://www.mahindrauniversity.edu.in/programs/b-tech/,,,,QA028,
mu-000029,mu-000029,Is hostel stay mandatory for B.Tech students?,"Yes. B.Tech is described as a mandatory 100% residential programme, and hostel stay is mandatory.",STATIC,SRC-W-05; SRC-W-11; SRC-W-06,https://www.mahindrauniversity.edu.in/programs/b-tech/; https://www.mahindrauniversity.edu.in/residences/; https://www.mahindrauniversity.edu.in/programs/b-tech/fee-structure/,,,,QA029,
mu-000030,mu-000030,What B.Tech specialisations are listed at Mahindra University?,The B.Tech page lists: Civil Engineering for Working Professionals; VLSI Design & Technology; Nanotechnology; Mechatronics; Electronics & Communication Engineering; Data Science; Computational Biology; Civil Engineering; Biotechnology; Aerospace Engineering; Mechanical Engineering; Computation & Mathematics; Electronics & Computer Engineering; Artificial Intelligence; Computer Science Engineering.,STATIC,SRC-W-05,https://www.mahindrauniversity.edu.in/programs/b-tech/,,,,QA030,
mu-000031,mu-000031,What is the B.A. LL.B. (Honours) programme about?,B.A. LL.B. (Honours): An integrated law programme combining liberal arts education with rigorous legal training and critical thinking.,STATIC,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,,,,QA031,
mu-000032,mu-000032,What is the B.A. in Journalism & Mass Communication (BJMC) programme about?,"B.A. in Journalism & Mass Communication (BJMC): A practice-oriented programme that develops skills in journalism, media production, and digital communication.",STATIC,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,,,,QA032,
mu-000033,mu-000033,What is the BBA programme about?,"BBA: An undergraduate business programme focused on management fundamentals, digital fluency, and leadership development.",STATIC,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,,,,QA033,
mu-000034,mu-000034,What is the BBA in Entrepreneurship & Family Business programme about?,"BBA in Entrepreneurship & Family Business: A specialised business programme designed for building, managing, and scaling entrepreneurial and family-run enterprises.",STATIC,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,,,,QA034,
mu-000035,mu-000035,What is the BBA LL.B. (Honours) programme about?,"BBA LL.B. (Honours): An integrated programme blending business education with legal studies for careers at the intersection of law, policy, and management.",STATIC,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,,,,QA035,
mu-000036,mu-000036,What is the B. Des programme about?,"B. Des: A design programme focused on creative thinking, user-centred design, and problem-solving across physical and digital domains.",STATIC,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,,,,QA036,
mu-000037,mu-000037,What is the B.Tech in Computation & Media programme about?,"B.Tech in Computation & Media: An interdisciplinary programme integrating computing, media studies, and creative technologies.",STATIC,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,,,,QA037,
mu-000038,mu-000038,What is the B.Tech. - LL.B. (Honours) programme about?,"B.Tech. - LL.B. (Honours): An interdisciplinary programme combining engineering education with legal studies relevant to technology, policy and regulation.",STATIC,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,,,,QA038,
mu-000039,mu-000039,What is the 4-year BBA (honours) in Hospitality Management programme about?,"4-year BBA (honours) in Hospitality Management: A specialised honours programme focused on hospitality operations, service leadership and global industry practices.",STATIC,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,,,,QA039,
mu-000040,mu-000040,What is the Bachelor of Architecture (B. Arch) programme about?,Bachelor of Architecture (B. Arch) Programme: A five-year professional programme aligned with Council of Architecture (COA) guidelines.,STATIC,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,,,,QA040,
mu-000041,mu-000041,What is the 3 Years LL.B. programme about?,"3 Years LL.B.: A postgraduate law programme designed to build strong legal foundations, analytical reasoning and professional competence for diverse legal careers.",STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA041,
mu-000042,mu-000042,What is the 5-year Integrated M.Tech in Biotechnology programme about?,5-year Integrated M.Tech in Biotechnology: An integrated programme combining undergraduate and postgraduate training to develop deep expertise in biotechnology and life sciences.,STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA042,
mu-000043,mu-000043,What is the M.A. in Education programme about?,"M.A. in Education: A postgraduate programme focused on critical inquiry, educational research, and leadership across diverse learning contexts.",STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA043,
mu-000044,mu-000044,What is the M.A. in Journalism and Mass Communication programme about?,"M.A. in Journalism and Mass Communication: Advanced study in journalism, media practice, and communication theory.",STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA044,
mu-000045,mu-000045,What is the MBA programme about?,"MBA: A management programme focused on leadership, strategy and decision-making.",STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA045,
mu-000046,mu-000046,What is the Masters in Design Innovation programme about?,"Masters in Design Innovation: An interdisciplinary postgraduate programme that applies design-led thinking to innovation, systems and complex real-world challenges.",STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA046,
mu-000047,mu-000047,What is the M.Sc. Biotechnology (Biologics) programme about?,"M.Sc. Biotechnology (Biologics): A specialised programme focused on biologics, biopharmaceutical development and industry-aligned life sciences training.",STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA047,
mu-000048,mu-000048,What is the M.Sc. by Research in Biotherapeutics programme about?,"M.Sc. by Research in Biotherapeutics: A research-intensive programme focused on discovery, development and manufacturing of advanced biotherapeutic products.",STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA048,
mu-000049,mu-000049,What is the M.Tech programme about?,M.Tech: A postgraduate engineering programme offering advanced technical training and research exposure across specialised domains.,STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA049,
mu-000050,mu-000050,What is the M.Tech in Biomedical Data Science programme about?,"M.Tech in Biomedical Data Science: An interdisciplinary programme integrating data science, computation, and biomedical research for healthcare and life science applications.",STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA050,
mu-000051,mu-000051,What is the M.Tech in Sustainability programme about?,M.Tech in Sustainability: A programme that aims to prepare industry-ready professionals and researchers who can address global sustainability challenges.,STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA051,
mu-000052,mu-000052,How can I apply to Mahindra University?,"Mahindra University announces admissions for 2026 in Undergraduate, Postgraduate and Ph.D. programmes. Applications are made through the online admissions portal: https://admission.mahindrauniversity.edu.in/ . Admissions email: admissions@mahindrauniversity.edu.in.",TERMLY,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA052,draft stability_tag: Changes each term
mu-000053,mu-000053,How can I register for Mahindra University admissions information sessions?,Info sessions registration is at https://www.mahindrauniversity.edu.in/meet-us-infosessions/ .,TERMLY,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA053,draft stability_tag: Changes each term
mu-000054,mu-000054,Which admission documents can I download from the Mahindra University website?,"Linked PDFs: B.Tech Admission Notification 2026-27, University brochure, Public Self-Disclosure, and Students Code of Conduct.",TERMLY,SRC-W-05,https://www.mahindrauniversity.edu.in/programs/b-tech/,,,,QA054,draft stability_tag: Changes each term
mu-000055,mu-000055,What is the B.Tech fee structure for Indian students?,"Academic fees Rs 5,00,000; hostel charges Rs 1,70,000; caution deposit Rs 20,000 (refundable at the end of study or graduation). All fees are subject to annual revision.",TERMLY,SRC-W-06,https://www.mahindrauniversity.edu.in/programs/b-tech/fee-structure/,,,,QA055,draft stability_tag: Changes each term
mu-000056,mu-000056,What is the B.Tech fee structure for PIO/NRI students?,"Academic fees USD 9,000; hostel charges USD 3,000; caution deposit USD 400 (refundable).",TERMLY,SRC-W-06,https://www.mahindrauniversity.edu.in/programs/b-tech/fee-structure/,,,,QA056,draft stability_tag: Changes each term
mu-000057,mu-000057,What hostel room options do B.Tech students have?,"First-year students are allotted triple-occupancy rooms. From the second year, double or triple occupancy may be opted for, subject to availability, with hostel fees per allotted type.",TERMLY,SRC-W-06,https://www.mahindrauniversity.edu.in/programs/b-tech/fee-structure/,,,,QA057,draft stability_tag: Changes each term
mu-000058,mu-000058,What are the B.Tech eligibility requirements for Indian students?,"Qualify in JEE (Main) 2026 and be eligible to write JEE Advanced 2026 (or top All India Rank in JEE Main), OR a valid SAT Subject Test score (including maths, physics, chemistry) of at least 1800, OR a valid SAT score of at least 800, OR a valid ACT composite score of at least 18. Students admitted through JEE/SAT/ACT need 60% or equivalent in 10+2 from any statutory board.",TERMLY,SRC-W-07,https://www.mahindrauniversity.edu.in/programs/b-tech/eligibility-criteria/,,,,QA058,draft stability_tag: Changes each term
mu-000059,mu-000059,What are the B.Tech eligibility requirements for PIO/NRI applicants?,10+2 or equivalent from any statutory board with 80% or equivalent grade (IB or other approved boards). Valid SAT scores are considered but not mandatory. Shortlisted candidates are followed by a panel interview.,TERMLY,SRC-W-07,https://www.mahindrauniversity.edu.in/programs/b-tech/eligibility-criteria/,,,,QA059,draft stability_tag: Changes each term
mu-000060,mu-000060,"Can I apply for biotechnology programmes with Physics, Chemistry and Biology in Class 12?","Yes for B.Tech in Biotechnology, B.Tech in Computational Biology and the 5-year Integrated M.Tech in Biotechnology: candidates who studied Physics, Chemistry and Biology in 12th grade are also eligible based on 12th grade PCB scores. Candidates applying via SAT/ACT undergo a technical and aptitude-based interview.",TERMLY,SRC-W-07,https://www.mahindrauniversity.edu.in/programs/b-tech/eligibility-criteria/,,,,QA060,draft stability_tag: Changes each term
mu-000061,mu-000061,Is Mathematics in Class 12 mandatory for BBA programmes?,"The source states that for BBA (Applied Economics & Finance) and BBA (Computational Business Analytics), Mathematics in 12th grade is mandatory.",TERMLY,SRC-W-07,https://www.mahindrauniversity.edu.in/programs/b-tech/eligibility-criteria/,,,,QA061,Answer limited to the two BBA variants named in the source. | draft stability_tag: Changes each term
mu-000062,mu-000062,What is the UGC Equivalence Certificate requirement?,"All UG applicants who completed Class 12 under IB, Cambridge or any other international curriculum must submit a UGC Equivalence Certificate by 30 August 2026, or admission is automatically cancelled.",TERMLY,SRC-W-07,https://www.mahindrauniversity.edu.in/programs/b-tech/eligibility-criteria/,,,,QA062,draft stability_tag: Changes each term
mu-000063,mu-000063,Which entrance exams does Mahindra University accept for B.Tech?,"JEE (Main), SAT (Subject/general) and ACT are accepted. For some specialisations (e.g. Biotechnology or integrated options) PCB scores may be required. Applicants via SAT/ACT, and for certain specialisations, undergo a technical and aptitude-based interview.",TERMLY,SRC-W-05,https://www.mahindrauniversity.edu.in/programs/b-tech/,,,,QA063,draft stability_tag: Changes each term
mu-000064,mu-000064,What scholarships are available for B.Tech students admitted through JEE Main?,"Under the Mahindra University RISE Scholars Programme: 98 percentile and above - 100% academic (tuition) fee waiver; 96-98 percentile - 50% academic fee waiver; 94-96 percentile - 100% hostel and mess fee waiver; 90-94 percentile - 25% academic fee waiver. Awarded at admission for the first year; to continue for the remaining 3 years, students must maintain a minimum GPA of 7.5 at the end of each academic year without backlogs. The University reserves the right to modify the policy.",TERMLY,SRC-W-06,https://www.mahindrauniversity.edu.in/programs/b-tech/fee-structure/,,,,QA064,draft stability_tag: Changes each term
mu-000065,mu-000065,Is there a merit scholarship for the 4-year BBA (Hons.) in Hospitality Management?,"Merit scholarships of up to 100% tuition fee waiver are shown for students with 90% and above in Class 12 (or equivalent), beside the 4-Year BBA (Hons.) in Hospitality Management in the 2026 admissions pop-up.",TERMLY,SRC-W-08,https://www.mahindrauniversity.edu.in/eateries/,,,,QA065,draft stability_tag: Changes each term
mu-000066,mu-000066,Where can I pay fees or find the academic calendar on the Mahindra University website?,"The site provides Pay Fees (https://www.mahindrauniversity.edu.in/pay-fee/), Academic Calendar (https://www.mahindrauniversity.edu.in/calendar/), Mandatory Disclosures (https://www.mahindrauniversity.edu.in/mandatory-disclosures/) and Policies (https://www.mahindrauniversity.edu.in/policies/) pages.",STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA066,draft stability_tag: Changes each term
mu-000067,mu-000067,How can I contact the Mahindra University admissions office?,Admission-related enquiries: admissions@mahindrauniversity.edu.in.,STATIC,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,,,,QA067,draft stability_tag: Changes each term
mu-000068,mu-000068,How can I contact MBA admissions?,MBA admissions: mba.admissions@mahindrauniversity.edu.in; +91-9963427036 / +91-9963476964.,STATIC,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,,,,QA068,draft stability_tag: Changes each term
mu-000069,mu-000069,How can I contact BBA or B.A. admissions?,BBA/B.A. admissions - South & West: +91 9553433789; North & East: +91 7318551441 and +91 981134637 (as displayed).,STATIC,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,,,,QA069,draft stability_tag: Changes each term
mu-000070,mu-000070,How can I contact the School of Law admissions?,School of Law admissions: +91 9154865736 and +91 9154865738.,STATIC,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,,,,QA070,draft stability_tag: Changes each term
mu-000071,mu-000071,How can I contact the Head of Marketing and Admissions?,"Rakesh Sreedharan, Head - Marketing and Admissions: rakesh.s@mahindrauniversity.edu.in; office landline 040-67135188.",STATIC,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,,,,QA071,"draft stability_tag: Changes each term | Personal mobile numbers removed 2026-09-23 (team rule: keep institutional/office numbers, drop individuals' personal numbers)"
mu-000072,mu-000072,Who are the regional admissions contacts?,"Regional admissions contacts: Ajay Mishra (Uttar Pradesh): ajay.mishra@mahindrauniversity.edu.in. Dibyendu Karmakar (West Bengal, North Eastern States, Odisha, Jharkhand, Chhattisgarh): dibyendu.karmakar@mahindrauniversity.edu.in. Abhinandan Kashyap (Delhi/NCR, Haryana, Punjab, Himachal Pradesh, Uttarakhand, Jammu & Kashmir): abhinandan.kashyap@mahindrauniversity.edu.in. For phone enquiries, use the university admissions lines.",STATIC,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,,,,QA072,"draft stability_tag: Changes each term | Personal mobile numbers removed 2026-09-23 (team rule: keep institutional/office numbers, drop individuals' personal numbers)"
mu-000073,mu-000073,How can I send career-related queries to Mahindra University?,Career-related queries can be sent to careers@mahindrauniversity.edu.in or 040-67135160.,STATIC,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,,,,QA073,draft stability_tag: Changes each term
mu-000074,mu-000074,How can I contact Mahindra University about branding enquiries?,Branding enquiries: branding@mahindrauniversity.edu.in.,STATIC,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,,,,QA074,draft stability_tag: Changes each term
mu-000075,mu-000075,What are Mahindra University's official social media channels?,"Facebook (MahindraUni), Twitter (MahindraUni), Instagram (mahindrauni), LinkedIn (Mahindra Ecole Centrale school page) and YouTube.",STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA075,
mu-000076,mu-000076,Where is the library?,"The library is the Vineet Nayyar Learning Resource Centre (VNLRC), located on the Mahindra University campus. The source gives no more specific location.",STATIC,SRC-W-10,https://www.mahindrauniversity.edu.in/library/,,,,QA076,
mu-000077,mu-000077,What is the Vineet Nayyar Learning Resource Centre?,"VNLRC is the central knowledge hub of the university, supporting students, research scholars, faculty and staff with printed and electronic resources and technology-enabled study spaces. Total area: 36,650 square feet.",STATIC,SRC-W-10,https://www.mahindrauniversity.edu.in/library/,,,,QA077,
mu-000078,mu-000078,How many books does the Mahindra University library have?,"The library holds 29,000+ books and journals across disciplines.",STATIC,SRC-W-10,https://www.mahindrauniversity.edu.in/library/,,,,QA078,draft stability_tag: Changes each term
mu-000079,mu-000079,What facilities are available at the library?,"Full RFID automation with KOHA integrated software supports self checkout and real-time catalogue access. Reading rooms, collaborative areas and quiet zones are available.",STATIC,SRC-W-10,https://www.mahindrauniversity.edu.in/library/,,,,QA079,
mu-000080,mu-000080,What are the library timings?,VNLRC: 8:00 AM-11:00 PM Monday-Friday; 9:00 AM-5:00 PM Saturday and Sunday (9:00 AM-11:00 PM on weekends during examination time). SOL: 9:00 AM-9:00 PM Monday-Friday; 9:00 AM-5:00 PM Saturday and Sunday (9:00 AM-9:00 PM on weekends during examination time).,STATIC,SRC-W-10,https://www.mahindrauniversity.edu.in/library/,,,,QA080,draft stability_tag: Changes each term
mu-000081,mu-000081,Can I search the library catalogue and access e-resources online?,"Yes. OPAC (Online Public Access Catalog) lets users search books, journals and e-resources: https://library.mahindrauniversity.edu.in/ . E-journals and databases are available 24/7 with remote access: https://mahindrauniversity.refread.com/",STATIC,SRC-W-10,https://www.mahindrauniversity.edu.in/library/,,,,QA081,
mu-000082,mu-000082,Does Mahindra University have on-campus hostels?,"Yes. It is a fully residential campus with on-campus student residences within walking distance of academic, recreational and dining facilities. Individual hostel or block names are not listed on the page. Hostel stay is mandatory for B.Tech students.",STATIC,SRC-W-11,https://www.mahindrauniversity.edu.in/residences/,,,,QA082,
mu-000083,mu-000083,Which hostels are on the Mahindra University campus?,"The website says there are on-campus student residences but does not list individual hostel or block names. The campus-map observations show labels for 'Hostels' (multiple hostel areas visible; numbering still to be verified), 'Hostel 5' and 'Hostel 1, 2, 3, 4'.",STATIC,SRC-W-11; SRC-M-01; SRC-M-02,https://www.mahindrauniversity.edu.in/residences/,,,,QA083,Multi-source. Stability marked for review because the map numbering is flagged 'numbering verify' in the source. | draft stability_tag: Needs review
mu-000084,mu-000084,What features and facilities do the student residences have?,"Furnished rooms; common areas for study, interaction and recreation; utilities and housekeeping support; internet connectivity; managed access and on-site supervision.",STATIC,SRC-W-11,https://www.mahindrauniversity.edu.in/residences/,,,,QA084,
mu-000085,mu-000085,What safety and wellbeing measures exist in the residences?,"Controlled access to residential areas, on-site residential staff and support teams, protocols for safety, health and conduct, and access to campus health and support services. A separate Campus Safety page exists: https://www.mahindrauniversity.edu.in/campus-safety/ .",STATIC,SRC-W-11,https://www.mahindrauniversity.edu.in/residences/,,,,QA085,
mu-000086,mu-000086,Are there residential guidelines and an orientation for new hostel residents?,"Yes. Residences operate under residential guidelines, and orientation programmes help new residents transition into campus living.",STATIC,SRC-W-11,https://www.mahindrauniversity.edu.in/residences/,,,,QA086,
mu-000087,mu-000087,What dining options are available for students on campus?,"The student mess provides regular meal services as part of the residential experience, in structured dining spaces designed for large student populations. Canteens and informal dining areas are positioned across the campus for quick meals and refreshments outside scheduled meal times.",STATIC,SRC-W-08,https://www.mahindrauniversity.edu.in/eateries/,,,,QA087,
mu-000088,mu-000088,Where is the student mess?,On campus; accessible from hostels and academic blocks. The source gives no more specific location.,STATIC,SRC-W-08,https://www.mahindrauniversity.edu.in/eateries/,,,,QA088,
