knowledge_id,source_type,category,subcategory,entity,title,description,details,location,school_department,program,eligibility,fees,contact,source_id,source_url,source_page,original_record_id,verification_status,notes,entity_group
KN-0011,website,Academics,Schools,Schools at Mahindra University,Schools at Mahindra University,Mahindra University has seven schools: Ecole Centrale School of Engineering; Indira Mahindra School of Education; School of Design Innovation; School of Digital Media and Communication; School of Hospitality Management; School of Law; School of Management.,Schools overview page: https://www.mahindrauniversity.edu.in/schools/,,,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-011,,Entity link: Schools (clear); see combined_entity_overlap.csv.,Schools
KN-0012,website,Academics,Schools,École Centrale School of Engineering,École Centrale School of Engineering,École Centrale School of Engineering is one of the seven schools listed under Academics at Mahindra University.,School page: https://www.mahindrauniversity.edu.in/schools/ecole-centrale-school-of-engineering/ (page content not extracted; programme-to-school mapping is not stated on the pages accessed).,,École Centrale School of Engineering,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-012,,Entity link: École Centrale School of Engineering (clear); see combined_entity_overlap.csv.,École Centrale School of Engineering
KN-0013,website,Academics,Schools,Indira Mahindra School of Education,Indira Mahindra School of Education,Indira Mahindra School of Education is one of the seven schools listed under Academics at Mahindra University.,School page: https://www.mahindrauniversity.edu.in/schools/indira-mahindra-school-of-education/ (page content not extracted; programme-to-school mapping is not stated on the pages accessed).,,Indira Mahindra School of Education,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-013,,Entity link: Schools (clear); see combined_entity_overlap.csv.,Schools
KN-0014,website,Academics,Schools,School of Design Innovation,School of Design Innovation,School of Design Innovation is one of the seven schools listed under Academics at Mahindra University.,School page: https://www.mahindrauniversity.edu.in/schools/school-of-design-innovation/ (page content not extracted; programme-to-school mapping is not stated on the pages accessed).,,School of Design Innovation,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-014,,Entity link: Schools (clear); see combined_entity_overlap.csv.,Schools
KN-0015,website,Academics,Schools,School of Digital Media and Communication,School of Digital Media and Communication,School of Digital Media and Communication is one of the seven schools listed under Academics at Mahindra University.,School page: https://www.mahindrauniversity.edu.in/schools/school-of-digital-media-and-communication/ (page content not extracted; programme-to-school mapping is not stated on the pages accessed).,,School of Digital Media and Communication,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-015,,Entity link: Schools (clear); see combined_entity_overlap.csv.,Schools
KN-0016,website,Academics,Schools,School of Hospitality Management,School of Hospitality Management,School of Hospitality Management is one of the seven schools listed under Academics at Mahindra University.,School page: https://www.mahindrauniversity.edu.in/schools/school-of-hospitality-management/ (page content not extracted; programme-to-school mapping is not stated on the pages accessed).,,School of Hospitality Management,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-016,,Entity link: Schools (clear); see combined_entity_overlap.csv.,Schools
KN-0017,website,Academics,Schools,School of Law,School of Law,School of Law is one of the seven schools listed under Academics at Mahindra University.,School page: https://www.mahindrauniversity.edu.in/schools/school-of-law/ (page content not extracted; programme-to-school mapping is not stated on the pages accessed).,,School of Law,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-017,,Entity link: Schools (clear); see combined_entity_overlap.csv.,Schools
KN-0018,website,Academics,Schools,School of Management,School of Management,School of Management is one of the seven schools listed under Academics at Mahindra University.,School page: https://www.mahindrauniversity.edu.in/schools/school-of-management/ (page content not extracted; programme-to-school mapping is not stated on the pages accessed).,,School of Management,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-018,,Entity link: Schools (clear); see combined_entity_overlap.csv.,Schools
KN-0019,website,Academics,Centres,Centres at Mahindra University,Centres at Mahindra University,Centres listed: Centre for Entrepreneurship and Innovation; Centre for Executive Education; Centre for Life Sciences; Centre for Sustainability; MU-VT Centre for Interdisciplinary Research in Transformative Technologies; Global Centre for Enterprise Risk Management; Bajaj Engineering Skills Training (BEST) Centre; Centre for Language Learning and Development.,Centres overview page: https://www.mahindrauniversity.edu.in/centres/,,,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-019,,,
KN-0020,website,Academics,Centres,Centre for Entrepreneurship and Innovation,Centre for Entrepreneurship and Innovation,"Centre for Entrepreneurship and Innovation is listed under Centres in the Academics menu. Homepage describes a Babson-partnered centre, a student-led E-Cell and a full incubation hub.",Centre page: https://www.mahindrauniversity.edu.in/about-cei/ (page content not extracted).,,Centre for Entrepreneurship and Innovation,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-020,,,
KN-0021,website,Academics,Centres,Centre for Executive Education,Centre for Executive Education,Centre for Executive Education is listed under Centres in the Academics menu.,Centre page: https://www.mahindrauniversity.edu.in/executive-education/ (page content not extracted).,,Centre for Executive Education,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-021,,,
KN-0022,website,Academics,Centres,Centre for Life Sciences,Centre for Life Sciences,Centre for Life Sciences is listed under Centres in the Academics menu.,Centre page: https://www.mahindrauniversity.edu.in/life-science/ (page content not extracted).,,Centre for Life Sciences,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-022,,,
KN-0023,website,Academics,Centres,Centre for Sustainability,Centre for Sustainability,Centre for Sustainability is listed under Centres in the Academics menu.,Centre page: https://www.mahindrauniversity.edu.in/center-for-sustainability/ (page content not extracted).,,Centre for Sustainability,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-023,,,
KN-0024,website,Academics,Centres,MU-VT Centre for Interdisciplinary Research in Transformative Technologies,MU-VT Centre for Interdisciplinary Research in Transformative Technologies,MU-VT Centre for Interdisciplinary Research in Transformative Technologies is listed under Centres in the Academics menu.,Centre page: https://www.mahindrauniversity.edu.in/mahindra-university-virginia-tech/ (page content not extracted).,,MU-VT Centre for Interdisciplinary Research in Transformative Technologies,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-024,,,
KN-0025,website,Academics,Centres,Global Centre for Enterprise Risk Management,Global Centre for Enterprise Risk Management,Global Centre for Enterprise Risk Management is listed under Centres in the Academics menu.,Centre page: https://www.mahindrauniversity.edu.in/global-centre-for-enterprise-risk-management/ (page content not extracted).,,Global Centre for Enterprise Risk Management,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-025,,,
KN-0026,website,Academics,Centres,Bajaj Engineering Skills Training (BEST) Centre,Bajaj Engineering Skills Training (BEST) Centre,Bajaj Engineering Skills Training (BEST) Centre is listed under Centres in the Academics menu.,Centre page: https://www.mahindrauniversity.edu.in/bajaj-engineering-skills-training-best-centre/ (page content not extracted).,,Bajaj Engineering Skills Training (BEST) Centre,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-026,,,
KN-0027,website,Academics,Centres,Centre for Language Learning and Development,Centre for Language Learning and Development,Mahindra University unveiled the Centre for Language Learning and Development and hosted an experiential storytelling workshop for teachers (news item on homepage).,News: https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-unveils-centre-for-language-learning-and-development-hosts-experiential-storytelling-workshop-for-teachers/,,Centre for Language Learning and Development,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-027,,,
KN-0028,website,Academics,Undergraduate Programmes,Undergraduate programmes offered,Undergraduate programmes offered,11 undergraduate programmes are listed: B.A. LL.B. (Honours); B.A. in Journalism & Mass Communication (BJMC); BBA; BBA in Entrepreneurship & Family Business; BBA LL.B. (Honours); B.Des; B.Tech; B.Tech in Computation & Media; B.Tech. - LL.B. (Honours); 4-year BBA (honours) in Hospitality Management; Bachelor of Architecture (B. Arch).,,,,,,,,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,MU-028,,,
KN-0029,website,Academics,Undergraduate Programmes,B.A. LL.B. (Honours),B.A. LL.B. (Honours),An integrated law programme combining liberal arts education with rigorous legal training and critical thinking.,Programme page: https://www.mahindrauniversity.edu.in/programs/ba-llb-hons/,,,B.A. LL.B. (Honours),,,,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,MU-029,,,
KN-0030,website,Academics,Undergraduate Programmes,B.A. in Journalism & Mass Communication (BJMC),B.A. in Journalism & Mass Communication (BJMC),"A practice-oriented programme that develops skills in journalism, media production, and digital communication.",Programme page: https://www.mahindrauniversity.edu.in/programs/ba-journalism-mass-communication/,,,B.A. in Journalism & Mass Communication (BJMC),,,,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,MU-030,,,
KN-0031,website,Academics,Undergraduate Programmes,BBA,BBA,"An undergraduate business programme focused on management fundamentals, digital fluency, and leadership development.",Programme page: https://www.mahindrauniversity.edu.in/programs/ba-bba/,,,BBA,,,,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,MU-031,,,
KN-0032,website,Academics,Undergraduate Programmes,BBA in Entrepreneurship & Family Business,BBA in Entrepreneurship & Family Business,"A specialised business programme designed for building, managing, and scaling entrepreneurial and family-run enterprises.",Programme page: https://www.mahindrauniversity.edu.in/programs/bba-entrepreneurship-family-business/,,,BBA in Entrepreneurship & Family Business,,,,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,MU-032,,,
KN-0033,website,Academics,Undergraduate Programmes,BBA LL.B. (Honours),BBA LL.B. (Honours),"An integrated programme blending business education with legal studies for careers at the intersection of law, policy, and management.",Programme page: https://www.mahindrauniversity.edu.in/programs/bba-llb-hons/,,,BBA LL.B. (Honours),,,,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,MU-033,,,
KN-0034,website,Academics,Undergraduate Programmes,B. Des,B. Des,"A design programme focused on creative thinking, user-centred design, and problem-solving across physical and digital domains.",Programme page: https://www.mahindrauniversity.edu.in/programs/bachelors-in-design-program/,,,B. Des,,,,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,MU-034,,,
KN-0035,website,Academics,Undergraduate Programmes,B.Tech,B.Tech,An engineering programme offering strong foundations and specialisation across core and emerging technology disciplines.,Programme page: https://www.mahindrauniversity.edu.in/programs/b-tech/,,,B.Tech,,,,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,MU-035,,,
KN-0036,website,Academics,Undergraduate Programmes,B.Tech in Computation & Media,B.Tech in Computation & Media,"An interdisciplinary programme integrating computing, media studies, and creative technologies.",Programme page: https://www.mahindrauniversity.edu.in/programs/computation-media/,,,B.Tech in Computation & Media,,,,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,MU-036,,,
KN-0037,website,Academics,Undergraduate Programmes,B.Tech. - LL.B. (Honours),B.Tech. - LL.B. (Honours),"An interdisciplinary programme combining engineering education with legal studies relevant to technology, policy and regulation.",Programme page: https://www.mahindrauniversity.edu.in/programs/b-tech-ll-b-hons/,,,B.Tech. - LL.B. (Honours),,,,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,MU-037,,,
KN-0038,website,Academics,Undergraduate Programmes,4-year BBA (honours) in Hospitality Management,4-year BBA (honours) in Hospitality Management,"A specialised honours programme focused on hospitality operations, service leadership and global industry practices.",Programme page: https://www.mahindrauniversity.edu.in/programs/4-year-bba-hons-in-hospitality-management/,,,4-year BBA (honours) in Hospitality Management,,,,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,MU-038,,,
KN-0039,website,Academics,Undergraduate Programmes,Bachelor of Architecture (B. Arch) Programme,Bachelor of Architecture (B. Arch) Programme,A five-year professional programme aligned with Council of Architecture (COA) guidelines.,Programme page: https://www.mahindrauniversity.edu.in/programs/bachelor-of-architecture-b-arch-programme/,,,Bachelor of Architecture (B. Arch) Programme,,,,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,MU-039,,,
KN-0040,website,Academics,Postgraduate Programmes,Postgraduate programmes offered,Postgraduate programmes offered,11 postgraduate programmes are listed: 3 Years LL.B.; 5-year Integrated M.Tech in Biotechnology; M.A. in Education; M.A. in Journalism and Mass Communication; MBA; Masters in Design Innovation; M.Sc. Biotechnology (Biologics); M.Sc. by Research in Biotherapeutics; M.Tech; M.Tech in Biomedical Data Science; M.Tech in Sustainability.,,,,,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-040,,,
KN-0041,website,Academics,Postgraduate Programmes,3 Years LL.B.,3 Years LL.B.,"A postgraduate law programme designed to build strong legal foundations, analytical reasoning and professional competence for diverse legal careers.",Programme page: https://www.mahindrauniversity.edu.in/programs/3-years-llb-hons/,,,3 Years LL.B.,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-041,,,
KN-0042,website,Academics,Postgraduate Programmes,5-year Integrated M.Tech in Biotechnology,5-year Integrated M.Tech in Biotechnology,An integrated programme combining undergraduate and postgraduate training to develop deep expertise in biotechnology and life sciences.,Programme page: https://www.mahindrauniversity.edu.in/5-yr-integrated-m-tech-in-biotechnology/,,,5-year Integrated M.Tech in Biotechnology,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-042,,,
KN-0043,website,Academics,Postgraduate Programmes,M.A. in Education,M.A. in Education,"A postgraduate programme focused on critical inquiry, educational research, and leadership across diverse learning contexts.",Programme page: https://www.mahindrauniversity.edu.in/programs/ma-education-program/,,,M.A. in Education,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-043,,,
KN-0044,website,Academics,Postgraduate Programmes,M.A. in Journalism and Mass Communication,M.A. in Journalism and Mass Communication,"Advanced study in journalism, media practice, and communication theory.",Programme page: https://www.mahindrauniversity.edu.in/programs/ma-in-journalism-and-mass-communication/,,,M.A. in Journalism and Mass Communication,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-044,,,
KN-0045,website,Academics,Postgraduate Programmes,MBA,MBA,"A management programme focused on leadership, strategy and decision-making.",Programme page: https://www.mahindrauniversity.edu.in/programs/mba/,,,MBA,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-045,,,
KN-0046,website,Academics,Postgraduate Programmes,Masters in Design Innovation,Masters in Design Innovation,"An interdisciplinary postgraduate programme that applies design-led thinking to innovation, systems and complex real-world challenges.",Programme page: https://www.mahindrauniversity.edu.in/programs/masters-of-design-innovation/,,,Masters in Design Innovation,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-046,,,
KN-0047,website,Academics,Postgraduate Programmes,M.Sc. Biotechnology (Biologics),M.Sc. Biotechnology (Biologics),"A specialised programme focused on biologics, biopharmaceutical development and industry-aligned life sciences training.",Programme page: https://www.mahindrauniversity.edu.in/programs/m-sc-biotechnology-biologics-for-dr-reddys-labs/,,,M.Sc. Biotechnology (Biologics),,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-047,,,
KN-0048,website,Academics,Postgraduate Programmes,M.Sc. by Research in Biotherapeutics,M.Sc. by Research in Biotherapeutics,"A research-intensive programme focused on discovery, development and manufacturing of advanced biotherapeutic products.",Programme page: https://www.mahindrauniversity.edu.in/programs/m-sc-by-research-in-biotherapeutics/,,,M.Sc. by Research in Biotherapeutics,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-048,,,
KN-0049,website,Academics,Postgraduate Programmes,M.Tech,M.Tech,A postgraduate engineering programme offering advanced technical training and research exposure across specialised domains.,Programme page: https://www.mahindrauniversity.edu.in/programs/m-tech/,,,M.Tech,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-049,,,
KN-0050,website,Academics,Postgraduate Programmes,M.Tech in Biomedical Data Science,M.Tech in Biomedical Data Science,"An interdisciplinary programme integrating data science, computation, and biomedical research for healthcare and life science applications.",Programme page: https://www.mahindrauniversity.edu.in/programs/m-tech-in-biomedical-data-science/,,,M.Tech in Biomedical Data Science,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-050,,,
KN-0051,website,Academics,Postgraduate Programmes,M.Tech in Sustainability,M.Tech in Sustainability,A programme that aims to prepare industry-ready professionals and researchers who can address global sustainability challenges.,Programme page: https://www.mahindrauniversity.edu.in/programs/m-tech-in-sustainability/,,,M.Tech in Sustainability,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-051,,,
KN-0052,website,Academics,Doctoral Programmes,Ph.D. programme areas,Ph.D. programme areas,Ph.D. programmes are listed in eight areas: Engineering; Educational Studies; Business Administration; Life Sciences; Media and Communication; Law; Design Innovation; Humanities and Social Sciences.,Seen in the site-wide 'Mahindra University announces admissions for 2026' pop-up. Doctoral programmes overview page: https://www.mahindrauniversity.edu.in/ph-d-programs/ (not extracted).,,,,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-052,,,
KN-0053,website,Academics,Doctoral Programmes,Ph.D. in Engineering,Ph.D. in Engineering,Ph.D. in Engineering is listed under Ph.D. Programmes in the 2026 admissions pop-up.,Programme page: https://www.mahindrauniversity.edu.in/programs/ph-d-in-engineering/ (content not extracted). Source is the site-wide admissions pop-up.,,,Ph.D. in Engineering,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-053,,,
KN-0054,website,Academics,Doctoral Programmes,Ph.D. in Educational Studies,Ph.D. in Educational Studies,Ph.D. in Educational Studies is listed under Ph.D. Programmes in the 2026 admissions pop-up.,Programme page: https://www.mahindrauniversity.edu.in/programs/phd-in-educational-studies/ (content not extracted). Source is the site-wide admissions pop-up.,,,Ph.D. in Educational Studies,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-054,,,
KN-0055,website,Academics,Doctoral Programmes,Ph.D. in Business Administration,Ph.D. in Business Administration,Ph.D. in Business Administration is listed under Ph.D. Programmes in the 2026 admissions pop-up.,Programme page: https://www.mahindrauniversity.edu.in/programs/phd-programs-school-of-management/ (content not extracted). Source is the site-wide admissions pop-up.,,,Ph.D. in Business Administration,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-055,,,
KN-0056,website,Academics,Doctoral Programmes,Ph.D. in Life Sciences,Ph.D. in Life Sciences,Ph.D. in Life Sciences is listed under Ph.D. Programmes in the 2026 admissions pop-up.,Programme page: https://www.mahindrauniversity.edu.in/programs/phd-in-life-sciences/ (content not extracted). Source is the site-wide admissions pop-up.,,,Ph.D. in Life Sciences,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-056,,,
KN-0057,website,Academics,Doctoral Programmes,Ph.D. in Media and Communication,Ph.D. in Media and Communication,Ph.D. in Media and Communication is listed under Ph.D. Programmes in the 2026 admissions pop-up.,Programme page: https://www.mahindrauniversity.edu.in/programs/phd-in-media-and-communication/ (content not extracted). Source is the site-wide admissions pop-up.,,,Ph.D. in Media and Communication,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-057,,,
KN-0058,website,Academics,Doctoral Programmes,Ph.D. in Law,Ph.D. in Law,Ph.D. in Law is listed under Ph.D. Programmes in the 2026 admissions pop-up.,Programme page: https://www.mahindrauniversity.edu.in/programs/ph-d-in-law/ (content not extracted). Source is the site-wide admissions pop-up.,,,Ph.D. in Law,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-058,,,
KN-0059,website,Academics,Doctoral Programmes,Ph.D. in Design Innovation,Ph.D. in Design Innovation,Ph.D. in Design Innovation is listed under Ph.D. Programmes in the 2026 admissions pop-up.,Programme page: https://www.mahindrauniversity.edu.in/programs/phd-in-design-innovation/ (content not extracted). Source is the site-wide admissions pop-up.,,,Ph.D. in Design Innovation,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-059,,,
KN-0060,website,Academics,Doctoral Programmes,Ph.D. in Humanities and Social Sciences,Ph.D. in Humanities and Social Sciences,Ph.D. in Humanities and Social Sciences is listed under Ph.D. Programmes in the 2026 admissions pop-up.,Programme page: https://www.mahindrauniversity.edu.in/ph-d-in-humanities-and-social-sciences/ (content not extracted). Source is the site-wide admissions pop-up.,,,Ph.D. in Humanities and Social Sciences,,,,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MU-060,,,
KN-0061,website,Academics,Executive & Working Professional Programmes,Executive Education,Executive Education,Executive Education is listed among admissions programmes and is run by the Centre for Executive Education.,Page: https://www.mahindrauniversity.edu.in/executive-education/ (content not extracted).,,Centre for Executive Education,,,,executive.education@mahindrauniversity.edu.in; +91 9059538001,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-061,,,
KN-0062,website,Academics,Executive & Working Professional Programmes,Working Professional Programmes,Working Professional Programmes,Working Professional Programmes are listed under Admissions > Programmes.,Page: https://www.mahindrauniversity.edu.in/weekend-working-professionals-program/ (content not extracted).,,,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-062,,,
