qa_id,question,answer,category,subcategory,source_type,source_record_id,source_id,source_url,source_page,entity,stability_tag,verification_status,notes
QA019,What centres does Mahindra University have?,Centre for Entrepreneurship and Innovation; Centre for Executive Education; Centre for Life Sciences; Centre for Sustainability; MU-VT Centre for Interdisciplinary Research in Transformative Technologies; Global Centre for Enterprise Risk Management; Bajaj Engineering Skills Training (BEST) Centre; and Centre for Language Learning and Development.,Academics,Centres,website,MU-019,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Centres at Mahindra University,Stable,Pending,
QA020,What is the Centre for Entrepreneurship and Innovation at Mahindra University?,"It is listed under Centres in the Academics menu. The homepage describes a Babson-partnered centre, a student-led E-Cell and a full incubation hub.",Academics,Centres,website,MU-020; MU-165,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Centre for Entrepreneurship and Innovation,Stable,Pending,
QA021,What is the Centre for Language Learning and Development?,"Mahindra University unveiled the Centre for Language Learning and Development and hosted an experiential storytelling workshop for teachers, according to a homepage news item.",Academics,Centres,website,MU-027,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Centre for Language Learning and Development,Needs review,Pending,"Stability unclear: the only source is a homepage news item, so it is unclear whether this is a permanent centre description or a time-bound news fact."
QA022,How can I contact the Centre for Executive Education?,Executive Education is run by the Centre for Executive Education. Contact: executive.education@mahindrauniversity.edu.in; +91 9059538001.,Academics,Executive & Working Professional Programmes,website,MU-061; MU-186,SRC-W-02; SRC-W-09,https://www.mahindrauniversity.edu.in/; https://www.mahindrauniversity.edu.in/contact-us/,Mahindra University: Best Private University in Hyderabad; Contact Us - Mahindra University (MU),Centre for Executive Education,Changes each term,Pending,
QA023,What executive and working professional programmes does Mahindra University offer?,"The source lists Executive Education (run by the Centre for Executive Education), Working Professional Programmes (listed under Admissions > Programmes), and a B.Tech in Civil Engineering for Working Professionals (listed among B.Tech specialisations).",Academics,Executive & Working Professional Programmes,website,MU-061; MU-062; MU-063,SRC-W-02; SRC-W-05,https://www.mahindrauniversity.edu.in/; https://www.mahindrauniversity.edu.in/programs/b-tech/,Mahindra University: Best Private University in Hyderabad; BTech Courses and Specializations List- Mahindra University,Executive and working professional programmes,Stable,Pending,
QA024,What undergraduate programmes does Mahindra University offer?,11 undergraduate programmes are listed: B.A. LL.B. (Honours); B.A. in Journalism & Mass Communication (BJMC); BBA; BBA in Entrepreneurship & Family Business; BBA LL.B. (Honours); B.Des; B.Tech; B.Tech in Computation & Media; B.Tech. - LL.B. (Honours); 4-year BBA (honours) in Hospitality Management; Bachelor of Architecture (B. Arch).,Academics,Undergraduate Programmes,website,MU-028,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,Undergraduate programmes,Stable,Pending,
QA025,What postgraduate programmes does Mahindra University offer?,11 postgraduate programmes are listed: 3 Years LL.B.; 5-year Integrated M.Tech in Biotechnology; M.A. in Education; M.A. in Journalism and Mass Communication; MBA; Masters in Design Innovation; M.Sc. Biotechnology (Biologics); M.Sc. by Research in Biotherapeutics; M.Tech; M.Tech in Biomedical Data Science; M.Tech in Sustainability.,Academics,Postgraduate Programmes,website,MU-040,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,Postgraduate programmes,Stable,Pending,
QA026,In which areas does Mahindra University offer Ph.D. programmes?,Ph.D. programmes are listed in eight areas: Engineering; Educational Studies; Business Administration; Life Sciences; Media and Communication; Law; Design Innovation; Humanities and Social Sciences.,Academics,Doctoral Programmes,website,MU-052,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,Ph.D. programmes,Stable,Pending,
QA027,What is the B.Tech programme at Mahindra University?,"A 4-year (8-semester) residential B.Tech programme combining Ecole Centrale's curriculum, labs and industry connections, with the curriculum co-designed with Ecole Centrale, France. It is described as an engineering programme offering strong foundations and specialisation across core and emerging technology disciplines.",Academics,B.Tech,website,MU-064; MU-035,SRC-W-05; SRC-W-03,https://www.mahindrauniversity.edu.in/programs/b-tech/; https://www.mahindrauniversity.edu.in/under-graduate-programs/,BTech Courses and Specializations List- Mahindra University; Under Graduate (UG) Programs - Mahindra University,B.Tech,Stable,Pending,
QA028,How is the B.Tech programme structured?,"The first two years are the Core Program and the last two years are the Professional Program with electives. The credit structure is: basic sciences 47, basic engineering 28, humanities/social/creative sciences 15, enterprise sciences 10. There is an international exchange programme with mandatory internships.",Academics,B.Tech,website,MU-064,SRC-W-05,https://www.mahindrauniversity.edu.in/programs/b-tech/,BTech Courses and Specializations List- Mahindra University,B.Tech,Stable,Pending,
QA029,Is hostel stay mandatory for B.Tech students?,"Yes. B.Tech is described as a mandatory 100% residential programme, and hostel stay is mandatory.",Campus & Facilities,Residences,website,MU-064; MU-099; MU-082,SRC-W-05; SRC-W-11; SRC-W-06,https://www.mahindrauniversity.edu.in/programs/b-tech/; https://www.mahindrauniversity.edu.in/residences/; https://www.mahindrauniversity.edu.in/programs/b-tech/fee-structure/,BTech Courses and Specializations List- Mahindra University; Residences | Mahindra University; B.Tech Fee Structure 2026 | Mahindra University,B.Tech hostel requirement,Stable,Pending,
QA030,What B.Tech specialisations are listed at Mahindra University?,The B.Tech page lists: Civil Engineering for Working Professionals; VLSI Design & Technology; Nanotechnology; Mechatronics; Electronics & Communication Engineering; Data Science; Computational Biology; Civil Engineering; Biotechnology; Aerospace Engineering; Mechanical Engineering; Computation & Mathematics; Electronics & Computer Engineering; Artificial Intelligence; Computer Science Engineering.,Academics,B.Tech Specialisations,website,MU-065,SRC-W-05,https://www.mahindrauniversity.edu.in/programs/b-tech/,BTech Courses and Specializations List- Mahindra University,B.Tech specialisations,Stable,Pending,
QA031,What is the B.A. LL.B. (Honours) programme about?,B.A. LL.B. (Honours): An integrated law programme combining liberal arts education with rigorous legal training and critical thinking.,Academics,Undergraduate Programmes,website,MU-029,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,B.A. LL.B. (Honours),Stable,Pending,
QA032,What is the B.A. in Journalism & Mass Communication (BJMC) programme about?,"B.A. in Journalism & Mass Communication (BJMC): A practice-oriented programme that develops skills in journalism, media production, and digital communication.",Academics,Undergraduate Programmes,website,MU-030,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,B.A. in Journalism & Mass Communication (BJMC),Stable,Pending,
QA033,What is the BBA programme about?,"BBA: An undergraduate business programme focused on management fundamentals, digital fluency, and leadership development.",Academics,Undergraduate Programmes,website,MU-031,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,BBA,Stable,Pending,
QA034,What is the BBA in Entrepreneurship & Family Business programme about?,"BBA in Entrepreneurship & Family Business: A specialised business programme designed for building, managing, and scaling entrepreneurial and family-run enterprises.",Academics,Undergraduate Programmes,website,MU-032,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,BBA in Entrepreneurship & Family Business,Stable,Pending,
QA035,What is the BBA LL.B. (Honours) programme about?,"BBA LL.B. (Honours): An integrated programme blending business education with legal studies for careers at the intersection of law, policy, and management.",Academics,Undergraduate Programmes,website,MU-033,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,BBA LL.B. (Honours),Stable,Pending,
QA036,What is the B. Des programme about?,"B. Des: A design programme focused on creative thinking, user-centred design, and problem-solving across physical and digital domains.",Academics,Undergraduate Programmes,website,MU-034,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,B. Des,Stable,Pending,
QA037,What is the B.Tech in Computation & Media programme about?,"B.Tech in Computation & Media: An interdisciplinary programme integrating computing, media studies, and creative technologies.",Academics,Undergraduate Programmes,website,MU-036,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,B.Tech in Computation & Media,Stable,Pending,
QA038,What is the B.Tech. - LL.B. (Honours) programme about?,"B.Tech. - LL.B. (Honours): An interdisciplinary programme combining engineering education with legal studies relevant to technology, policy and regulation.",Academics,Undergraduate Programmes,website,MU-037,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,B.Tech. - LL.B. (Honours),Stable,Pending,
QA039,What is the 4-year BBA (honours) in Hospitality Management programme about?,"4-year BBA (honours) in Hospitality Management: A specialised honours programme focused on hospitality operations, service leadership and global industry practices.",Academics,Undergraduate Programmes,website,MU-038,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,4-year BBA (honours) in Hospitality Management,Stable,Pending,
QA040,What is the Bachelor of Architecture (B. Arch) programme about?,Bachelor of Architecture (B. Arch) Programme: A five-year professional programme aligned with Council of Architecture (COA) guidelines.,Academics,Undergraduate Programmes,website,MU-039,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,Under Graduate (UG) Programs - Mahindra University,Bachelor of Architecture (B. Arch) Programme,Stable,Pending,
QA041,What is the 3 Years LL.B. programme about?,"3 Years LL.B.: A postgraduate law programme designed to build strong legal foundations, analytical reasoning and professional competence for diverse legal careers.",Academics,Postgraduate Programmes,website,MU-041,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,3 Years LL.B.,Stable,Pending,
QA042,What is the 5-year Integrated M.Tech in Biotechnology programme about?,5-year Integrated M.Tech in Biotechnology: An integrated programme combining undergraduate and postgraduate training to develop deep expertise in biotechnology and life sciences.,Academics,Postgraduate Programmes,website,MU-042,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,5-year Integrated M.Tech in Biotechnology,Stable,Pending,
QA043,What is the M.A. in Education programme about?,"M.A. in Education: A postgraduate programme focused on critical inquiry, educational research, and leadership across diverse learning contexts.",Academics,Postgraduate Programmes,website,MU-043,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,M.A. in Education,Stable,Pending,
QA044,What is the M.A. in Journalism and Mass Communication programme about?,"M.A. in Journalism and Mass Communication: Advanced study in journalism, media practice, and communication theory.",Academics,Postgraduate Programmes,website,MU-044,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,M.A. in Journalism and Mass Communication,Stable,Pending,
QA045,What is the MBA programme about?,"MBA: A management programme focused on leadership, strategy and decision-making.",Academics,Postgraduate Programmes,website,MU-045,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,MBA,Stable,Pending,
QA046,What is the Masters in Design Innovation programme about?,"Masters in Design Innovation: An interdisciplinary postgraduate programme that applies design-led thinking to innovation, systems and complex real-world challenges.",Academics,Postgraduate Programmes,website,MU-046,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,Masters in Design Innovation,Stable,Pending,
QA047,What is the M.Sc. Biotechnology (Biologics) programme about?,"M.Sc. Biotechnology (Biologics): A specialised programme focused on biologics, biopharmaceutical development and industry-aligned life sciences training.",Academics,Postgraduate Programmes,website,MU-047,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,M.Sc. Biotechnology (Biologics),Stable,Pending,
QA048,What is the M.Sc. by Research in Biotherapeutics programme about?,"M.Sc. by Research in Biotherapeutics: A research-intensive programme focused on discovery, development and manufacturing of advanced biotherapeutic products.",Academics,Postgraduate Programmes,website,MU-048,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,M.Sc. by Research in Biotherapeutics,Stable,Pending,
QA049,What is the M.Tech programme about?,M.Tech: A postgraduate engineering programme offering advanced technical training and research exposure across specialised domains.,Academics,Postgraduate Programmes,website,MU-049,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,M.Tech,Stable,Pending,
QA050,What is the M.Tech in Biomedical Data Science programme about?,"M.Tech in Biomedical Data Science: An interdisciplinary programme integrating data science, computation, and biomedical research for healthcare and life science applications.",Academics,Postgraduate Programmes,website,MU-050,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,M.Tech in Biomedical Data Science,Stable,Pending,
QA051,What is the M.Tech in Sustainability programme about?,M.Tech in Sustainability: A programme that aims to prepare industry-ready professionals and researchers who can address global sustainability challenges.,Academics,Postgraduate Programmes,website,MU-051,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,M.Tech in Sustainability,Stable,Pending,
QA052,How can I apply to Mahindra University?,"Mahindra University announces admissions for 2026 in Undergraduate, Postgraduate and Ph.D. programmes. Applications are made through the online admissions portal: https://admission.mahindrauniversity.edu.in/ . Admissions email: admissions@mahindrauniversity.edu.in.",Admissions,Application,website,MU-080,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,Admissions 2026,Changes each term,Pending,
QA053,How can I register for Mahindra University admissions information sessions?,Info sessions registration is at https://www.mahindrauniversity.edu.in/meet-us-infosessions/ .,Admissions,Application,website,MU-080,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,Post Graduate (PG) Programs - Mahindra University,Admissions information sessions,Changes each term,Pending,
QA054,Which admission documents can I download from the Mahindra University website?,"Linked PDFs: B.Tech Admission Notification 2026-27, University brochure, Public Self-Disclosure, and Students Code of Conduct.",Admissions,Application,website,MU-081,SRC-W-05,https://www.mahindrauniversity.edu.in/programs/b-tech/,BTech Courses and Specializations List- Mahindra University,Admission documents,Changes each term,Pending,
QA055,What is the B.Tech fee structure for Indian students?,"Academic fees Rs 5,00,000; hostel charges Rs 1,70,000; caution deposit Rs 20,000 (refundable at the end of study or graduation). All fees are subject to annual revision.",Admissions,B.Tech Fees,website,MU-082,SRC-W-06,https://www.mahindrauniversity.edu.in/programs/b-tech/fee-structure/,B.Tech Fee Structure 2026 | Mahindra University,B.Tech fees (Indian students),Changes each term,Pending,
QA056,What is the B.Tech fee structure for PIO/NRI students?,"Academic fees USD 9,000; hostel charges USD 3,000; caution deposit USD 400 (refundable).",Admissions,B.Tech Fees,website,MU-083,SRC-W-06,https://www.mahindrauniversity.edu.in/programs/b-tech/fee-structure/,B.Tech Fee Structure 2026 | Mahindra University,B.Tech fees (PIO/NRI students),Changes each term,Pending,
QA057,What hostel room options do B.Tech students have?,"First-year students are allotted triple-occupancy rooms. From the second year, double or triple occupancy may be opted for, subject to availability, with hostel fees per allotted type.",Campus & Facilities,Residences,website,MU-082,SRC-W-06,https://www.mahindrauniversity.edu.in/programs/b-tech/fee-structure/,B.Tech Fee Structure 2026 | Mahindra University,B.Tech hostel rooms,Changes each term,Pending,
QA058,What are the B.Tech eligibility requirements for Indian students?,"Qualify in JEE (Main) 2026 and be eligible to write JEE Advanced 2026 (or top All India Rank in JEE Main), OR a valid SAT Subject Test score (including maths, physics, chemistry) of at least 1800, OR a valid SAT score of at least 800, OR a valid ACT composite score of at least 18. Students admitted through JEE/SAT/ACT need 60% or equivalent in 10+2 from any statutory board.",Admissions,B.Tech Eligibility,website,MU-084,SRC-W-07,https://www.mahindrauniversity.edu.in/programs/b-tech/eligibility-criteria/,B.Tech Eligibility Criteria - Mahindra University,B.Tech eligibility (Indian category),Changes each term,Pending,
QA059,What are the B.Tech eligibility requirements for PIO/NRI applicants?,10+2 or equivalent from any statutory board with 80% or equivalent grade (IB or other approved boards). Valid SAT scores are considered but not mandatory. Shortlisted candidates are followed by a panel interview.,Admissions,B.Tech Eligibility,website,MU-085,SRC-W-07,https://www.mahindrauniversity.edu.in/programs/b-tech/eligibility-criteria/,B.Tech Eligibility Criteria - Mahindra University,B.Tech eligibility (PIO/NRI category),Changes each term,Pending,
QA060,"Can I apply for biotechnology programmes with Physics, Chemistry and Biology in Class 12?","Yes for B.Tech in Biotechnology, B.Tech in Computational Biology and the 5-year Integrated M.Tech in Biotechnology: candidates who studied Physics, Chemistry and Biology in 12th grade are also eligible based on 12th grade PCB scores. Candidates applying via SAT/ACT undergo a technical and aptitude-based interview.",Admissions,B.Tech Eligibility,website,MU-086,SRC-W-07,https://www.mahindrauniversity.edu.in/programs/b-tech/eligibility-criteria/,B.Tech Eligibility Criteria - Mahindra University,Biotechnology-related programmes eligibility,Changes each term,Pending,
QA061,Is Mathematics in Class 12 mandatory for BBA programmes?,"The source states that for BBA (Applied Economics & Finance) and BBA (Computational Business Analytics), Mathematics in 12th grade is mandatory.",Admissions,B.Tech Eligibility,website,MU-086,SRC-W-07,https://www.mahindrauniversity.edu.in/programs/b-tech/eligibility-criteria/,B.Tech Eligibility Criteria - Mahindra University,BBA eligibility (Mathematics in Class 12),Changes each term,Pending,Answer limited to the two BBA variants named in the source.
QA062,What is the UGC Equivalence Certificate requirement?,"All UG applicants who completed Class 12 under IB, Cambridge or any other international curriculum must submit a UGC Equivalence Certificate by 30 August 2026, or admission is automatically cancelled.",Admissions,B.Tech Eligibility,website,MU-087,SRC-W-07,https://www.mahindrauniversity.edu.in/programs/b-tech/eligibility-criteria/,B.Tech Eligibility Criteria - Mahindra University,UGC Equivalence Certificate,Changes each term,Pending,
QA063,Which entrance exams does Mahindra University accept for B.Tech?,"JEE (Main), SAT (Subject/general) and ACT are accepted. For some specialisations (e.g. Biotechnology or integrated options) PCB scores may be required. Applicants via SAT/ACT, and for certain specialisations, undergo a technical and aptitude-based interview.",Admissions,B.Tech Eligibility,website,MU-088,SRC-W-05,https://www.mahindrauniversity.edu.in/programs/b-tech/,BTech Courses and Specializations List- Mahindra University,B.Tech entrance exams,Changes each term,Pending,
QA064,What scholarships are available for B.Tech students admitted through JEE Main?,"Under the Mahindra University RISE Scholars Programme: 98 percentile and above - 100% academic (tuition) fee waiver; 96-98 percentile - 50% academic fee waiver; 94-96 percentile - 100% hostel and mess fee waiver; 90-94 percentile - 25% academic fee waiver. Awarded at admission for the first year; to continue for the remaining 3 years, students must maintain a minimum GPA of 7.5 at the end of each academic year without backlogs. The University reserves the right to modify the policy.",Admissions,Scholarships,website,MU-089,SRC-W-06,https://www.mahindrauniversity.edu.in/programs/b-tech/fee-structure/,B.Tech Fee Structure 2026 | Mahindra University,RISE Scholars Programme,Changes each term,Pending,
QA065,Is there a merit scholarship for the 4-year BBA (Hons.) in Hospitality Management?,"Merit scholarships of up to 100% tuition fee waiver are shown for students with 90% and above in Class 12 (or equivalent), beside the 4-Year BBA (Hons.) in Hospitality Management in the 2026 admissions pop-up.",Admissions,Scholarships,website,MU-090,SRC-W-08,https://www.mahindrauniversity.edu.in/eateries/,Eateries | Mahindra University,Hospitality Management merit scholarship,Changes each term,Pending,
QA066,Where can I pay fees or find the academic calendar on the Mahindra University website?,"The site provides Pay Fees (https://www.mahindrauniversity.edu.in/pay-fee/), Academic Calendar (https://www.mahindrauniversity.edu.in/calendar/), Mandatory Disclosures (https://www.mahindrauniversity.edu.in/mandatory-disclosures/) and Policies (https://www.mahindrauniversity.edu.in/policies/) pages.",Admissions,Quick Links,website,MU-091,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Fee payment and academic calendar pages,Changes each term,Pending,
QA067,How can I contact the Mahindra University admissions office?,Admission-related enquiries: admissions@mahindrauniversity.edu.in.,Contact,Admissions,website,MU-182,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,Contact Us - Mahindra University (MU),Admissions office,Changes each term,Pending,
QA068,How can I contact MBA admissions?,MBA admissions: mba.admissions@mahindrauniversity.edu.in; +91-9963427036 / +91-9963476964.,Contact,Admissions,website,MU-183,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,Contact Us - Mahindra University (MU),MBA admissions contact,Changes each term,Pending,
QA069,How can I contact BBA or B.A. admissions?,BBA/B.A. admissions - South & West: +91 9553433789; North & East: +91 7318551441 and +91 981134637 (as displayed).,Contact,Admissions,website,MU-184,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,Contact Us - Mahindra University (MU),BBA / B.A. admissions contact,Changes each term,Pending,
QA070,How can I contact the School of Law admissions?,School of Law admissions: +91 9154865736 and +91 9154865738.,Contact,Admissions,website,MU-185,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,Contact Us - Mahindra University (MU),School of Law admissions contact,Changes each term,Pending,
QA071,How can I contact the Head of Marketing and Admissions?,"Rakesh Sreedharan, Head - Marketing and Admissions: rakesh.s@mahindrauniversity.edu.in; mobile 9000188919; landline 040-67135188.",Contact,Admissions,website,MU-187,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,Contact Us - Mahindra University (MU),Head - Marketing and Admissions,Changes each term,Pending,
