qa_id,source_record_id,issue_type,issue_description,recommended_action
QA158,MU-176,incomplete_source_information,Headline only; the article was not extracted.,Do not add detail beyond the headline.
QA158,MU-176,outdated_or_time_sensitive_information,News item; the date is not recorded in the source.,Confirm the date if needed.
QA159,MU-177,incomplete_source_information,Headline only; the article was not extracted.,Do not add detail beyond the headline.
QA159,MU-177,outdated_or_time_sensitive_information,News item; the date is not recorded in the source.,Confirm the date if needed.
QA160,MU-178,incomplete_source_information,Headline only; the article was not extracted.,Do not add detail beyond the headline.
QA160,MU-178,outdated_or_time_sensitive_information,News item; the date is not recorded in the source.,Confirm the date if needed.
QA161,MU-179,incomplete_source_information,Headline only; the article was not extracted.,Do not add detail beyond the headline.
QA161,MU-179,outdated_or_time_sensitive_information,News item; the date is not recorded in the source.,Confirm the date if needed.
QA162,MU-180,incomplete_source_information,Headline only; the article was not extracted.,Do not add detail beyond the headline.
QA162,MU-180,outdated_or_time_sensitive_information,News item; the date is not recorded in the source.,Confirm the date if needed.
QA163,MAP-001; MAP-018; MU-011; MU-012,ambiguous_campus_map_information,MAP-001 notes 'spelling verify'; the website uses both 'Ecole' (MU-011) and 'École' (MU-012).,Confirm the official spelling.
QA163,MAP-001; MAP-018; MU-011; MU-012,ambiguous_campus_map_information,"The source records the sign text only (direction and minutes 'from sign'); the sign's own position, the travel mode and the destination's exact location are not recorded.","Do not add directions, distances or walking times beyond the recorded sign text; confirm with the university or a site visit."
QA163,MAP-001; MAP-018; MU-011; MU-012,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA164,MAP-002; MAP-015,ambiguous_campus_map_information,"The source records the sign text only (direction and minutes 'from sign'); the sign's own position, the travel mode and the destination's exact location are not recorded.","Do not add directions, distances or walking times beyond the recorded sign text; confirm with the university or a site visit."
QA164,MAP-002; MAP-015,unclear_entity_matching,The website mentions 'academic blocks' only generically (MU-103); it does not name this building.,Do not link the website mention to this map label without confirmation.
QA164,MAP-002; MAP-015,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA165,MAP-003; MAP-017,ambiguous_campus_map_information,"The source records the sign text only (direction and minutes 'from sign'); the sign's own position, the travel mode and the destination's exact location are not recorded.","Do not add directions, distances or walking times beyond the recorded sign text; confirm with the university or a site visit."
QA165,MAP-003; MAP-017,unclear_entity_matching,"The website's library is 'Vineet Nayyar Learning Resource Centre (VNLRC)' (MU-093). The spelling and building type differ, and the source does not say whether it is the same building.",Confirm with the university whether these are the same building and which spelling is correct.
QA165,MAP-003; MAP-017,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA166,MAP-012,ambiguous_campus_map_information,"The source records the sign text only (direction and minutes 'from sign'); the sign's own position, the travel mode and the destination's exact location are not recorded.","Do not add directions, distances or walking times beyond the recorded sign text; confirm with the university or a site visit."
QA166,MAP-012,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA167,MAP-019,ambiguous_campus_map_information,"The source records the sign text only (direction and minutes 'from sign'); the sign's own position, the travel mode and the destination's exact location are not recorded.","Do not add directions, distances or walking times beyond the recorded sign text; confirm with the university or a site visit."
QA167,MAP-019,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA168,MAP-006,unclear_entity_matching,The website lists grounds for 'football' (MU-106); the source does not say whether the map's 'Soccer Field' is the same facility.,Do not link the two without confirmation.
QA168,MAP-006,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA169,MAP-007; MAP-016,ambiguous_campus_map_information,"The source records the sign text only (direction and minutes 'from sign'); the sign's own position, the travel mode and the destination's exact location are not recorded.","Do not add directions, distances or walking times beyond the recorded sign text; confirm with the university or a site visit."
QA169,MAP-007; MAP-016,source_name_inconsistency,The map label reads 'Convention Centre' and the sign reads 'Convention Center'.,Confirm the official spelling.
QA169,MAP-007; MAP-016,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA170,MAP-008,incomplete_source_information,Only a label is recorded; no location or function detail.,None required; do not add detail.
QA170,MAP-008,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA171,MAP-009,incomplete_source_information,Only a label is recorded; the expansion of 'Infra' and the office's function are not stated.,Confirm the office's full name before using it in the dataset.
QA171,MAP-009,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA172,MAP-010,ambiguous_campus_map_information,"The source records the sign text only (direction and minutes 'from sign'); the sign's own position, the travel mode and the destination's exact location are not recorded.","Do not add directions, distances or walking times beyond the recorded sign text; confirm with the university or a site visit."
QA172,MAP-010,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA173,MAP-011,ambiguous_campus_map_information,"The source records the sign text only (direction and minutes 'from sign'); the sign's own position, the travel mode and the destination's exact location are not recorded.","Do not add directions, distances or walking times beyond the recorded sign text; confirm with the university or a site visit."
QA173,MAP-011,unclear_entity_matching,The website mentions 'access to campus health and support services' (MU-101) without naming a Health Care Centre.,Do not link the two without confirmation.
QA173,MAP-011,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA174,MAP-013,ambiguous_campus_map_information,"The source records the sign text only (direction and minutes 'from sign'); the sign's own position, the travel mode and the destination's exact location are not recorded.","Do not add directions, distances or walking times beyond the recorded sign text; confirm with the university or a site visit."
QA174,MAP-013,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA175,MAP-001; MAP-002; MAP-003; MAP-004; MAP-005; MAP-006; MAP-007; MAP-008; MAP-009; MAP-010; MAP-011; MAP-012; MAP-013; MAP-014; MAP-015; MAP-016; MAP-017; MAP-018; MAP-019,incomplete_source_information,The map observations cover only the labels and signs recorded; they may not be a complete list of campus places.,Do not treat this as a complete list of campus facilities.
QA175,MAP-001; MAP-002; MAP-003; MAP-004; MAP-005; MAP-006; MAP-007; MAP-008; MAP-009; MAP-010; MAP-011; MAP-012; MAP-013; MAP-014; MAP-015; MAP-016; MAP-017; MAP-018; MAP-019,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
